Date,Security,Value
2021-05-26,T-Bills,"326,044,000.0"
2021-05-26,T-Notes & T-Bonds,"4,331,310,560.1"
2021-05-26,Floating Rate Notes,"23,871,691.1"
2021-05-26,TIPS,"340,854,894.6"
2021-05-26,FAS,"2,347,000.0"
2021-05-26,AMBS,"2,267,735,648.4"
2021-05-26,CMBS,"9,825,698.7"
2021-05-26,Total,"7,301,989,492.9"
2021-05-26,Change,"102,972,423.1"
